STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
BIN;rhs150y0;12;01.01.2010 00:00;01.01.2011 00:00;MeteoSchweiz
WEE;rhs150y0;12;01.01.2011 00:00;01.01.2011 00:00;MeteoSchweiz
WIN;rhs150y0;12;01.01.2008 00:00;01.01.2011 00:00;MeteoSchweiz
SUS;rhs150y0;12;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
GOS;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
SOG;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
COL;rhs150y0;12;01.01.2008 00:00;01.01.2011 00:00;MeteoSchweiz
LTB;rhs150y0;12;01.01.2006 00:00;01.01.2006 00:00;MeteoSchweiz
LTB;rhs150y0;12;01.01.2008 00:00;01.01.2011 00:00;MeteoSchweiz
ENT;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
GTT;rhs150m0;12;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
WIN;rhs150m0;12;01.01.1959 00:00;01.12.2004 00:00;MeteoSchweiz
COL;rhs150m0;12;01.01.2022 00:00;01.06.2024 00:00;MeteoSchweiz
MAT;rhs150m0;12;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
APP;rhs150m0;12;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
LOH;rhs150m0;12;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
BIA;rhs150m0;12;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
STB;rhs150y0;12;01.01.2006 00:00;01.01.2006 00:00;MeteoSchweiz
STB;rhs150y0;12;01.01.2008 00:00;01.01.2011 00:00;MeteoSchweiz
BIN;rhs150y0;12;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
BRW;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
SVG;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
LAB;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
ILZ;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
SUS;rhs150y0;12;01.01.1961 00:00;01.01.2004 00:00;MeteoSchweiz
WIT;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
BEX;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
TST;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
MSG;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
LOH;rhs150y0;12;01.01.1959 00:00;01.01.2004 00:00;MeteoSchweiz
LEU;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
FLU;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
AIE;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
BIA;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
KLA;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
STB;rhs150m0;12;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
BIN;rhs150m0;12;01.11.2007 00:00;01.07.2009 00:00;MeteoSchweiz
COU;rhs150m0;12;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
TST;rhs150m0;12;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
LAC;rhs150m0;12;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
GOS;rhs150m0;12;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
LTB;rhs150m0;12;01.01.1959 00:00;01.12.2004 00:00;MeteoSchweiz
THS;rhs150m0;1;01.01.2022 00:00;01.11.2022 00:00;MeteoSchweiz
LOH;rhs150m0;12;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
LOH;rhs150m0;12;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
LEU;rhs150m0;12;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
MMO;rhs150m0;12;01.08.2010 00:00;01.04.2012 00:00;MeteoSchweiz
BIN;rhs150y0;12;01.01.2008 00:00;01.01.2008 00:00;MeteoSchweiz
LON;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
BIV;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
WIN;rhs150y0;12;01.01.1959 00:00;01.01.2004 00:00;MeteoSchweiz
WIN;rhs150y0;12;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
KAS;rhs150y0;12;01.01.2011 00:00;01.01.2012 00:00;MeteoSchweiz
SUS;rhs150y0;12;01.01.2006 00:00;01.01.2006 00:00;MeteoSchweiz
SUS;rhs150y0;12;01.01.2008 00:00;01.01.2011 00:00;MeteoSchweiz
