STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
MER;phsstam0;12;01.01.2022 00:00;01.09.2024 00:00;MeteoSchweiz
RAG;phsstam0;12;01.03.2012 00:00;01.04.2012 00:00;MeteoSchweiz
MER;ths200dn;12;01.01.1959 00:00;30.04.2012 00:00;MeteoSchweiz
SMA;ths200dn;12;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
GRH;ths200dn;12;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
DAV;ths200dn;12;01.01.1959 00:00;30.04.2012 00:00;MeteoSchweiz
SAM;ths200dn;12;01.01.1959 00:00;30.04.2012 00:00;MeteoSchweiz
PAY;ths200dn;12;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
SAE;ths200dn;12;01.01.1959 00:00;30.04.2012 00:00;MeteoSchweiz
SAE;ths200dn;12;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
LUZ;ths200dn;12;01.01.1959 00:00;30.04.2012 00:00;MeteoSchweiz
LUZ;ths200dn;12;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
CHM;ths200dn;12;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
LUG;ths200dn;12;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
BER;ths200dn;12;01.01.1959 00:00;30.04.2012 00:00;MeteoSchweiz
STG;ths200dn;12;01.01.1959 00:00;30.04.2012 00:00;MeteoSchweiz
MER;ths2dymn;12;01.01.1959 00:00;01.04.2012 00:00;MeteoSchweiz
GVE;ths2dymn;12;01.08.2023 00:00;01.09.2024 00:00;MeteoSchweiz
CDF;ths2dymn;12;01.01.1959 00:00;01.04.2012 00:00;MeteoSchweiz
CDF;ths2dymn;12;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
SMA;ths2dymn;12;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
ELM;ths2dymn;12;01.09.2010 00:00;01.03.2011 00:00;MeteoSchweiz
CHD;ths2dymn;12;01.01.1959 00:00;01.04.2012 00:00;MeteoSchweiz
JUN;ths2dymn;12;01.01.2022 00:00;01.04.2023 00:00;MeteoSchweiz
SAM;ths2dymn;12;01.01.2022 00:00;01.04.2023 00:00;MeteoSchweiz
SAE;ths2dymn;12;01.01.1959 00:00;01.04.2012 00:00;MeteoSchweiz
ANT;ths2dymn;12;01.01.1971 00:00;01.04.2012 00:00;MeteoSchweiz
ANT;ths2dymn;12;01.08.2023 00:00;01.09.2024 00:00;MeteoSchweiz
GRC;ths2dymn;12;01.08.2023 00:00;01.09.2024 00:00;MeteoSchweiz
ALT;ths2dymn;12;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
SIO;ths2dymn;12;01.01.1959 00:00;01.04.2012 00:00;MeteoSchweiz
STG;ths2dymn;12;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
BAS;ths2dymn;12;01.01.1959 00:00;01.04.2012 00:00;MeteoSchweiz
BAS;ths2dymn;12;01.01.2022 00:00;01.04.2023 00:00;MeteoSchweiz
CDF;ths200dx;12;01.01.1959 00:00;30.04.2012 00:00;MeteoSchweiz
GRH;ths200dx;12;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
CHD;ths200dx;1;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
NEU;ths200dx;1;01.12.1864 00:00;31.03.1874 00:00;MeteoSchweiz
NEU;ths200dx;1;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
DAV;ths200dx;1;01.03.1880 00:00;30.04.1882 00:00;MeteoSchweiz
DAV;ths200dx;1;01.09.1889 00:00;30.04.2012 00:00;MeteoSchweiz
SAE;ths200dx;1;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
GSB;ths200dx;1;01.09.1879 00:00;31.12.1900 00:00;MeteoSchweiz
STG;ths200dx;12;01.01.1959 00:00;30.04.2012 00:00;MeteoSchweiz
SIA;ths200dx;1;01.07.1911 00:00;31.12.1912 00:00;MeteoSchweiz
SMA;ths2dymx;1;01.09.1881 00:00;01.04.2012 00:00;MeteoSchweiz
GRH;ths2dymx;12;01.06.1971 00:00;01.04.2012 00:00;MeteoSchweiz
CHD;ths2dymx;1;01.10.1936 00:00;01.04.2012 00:00;MeteoSchweiz
CHD;ths2dymx;1;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
NEU;ths2dymx;1;01.12.1864 00:00;01.04.2012 00:00;MeteoSchweiz
SAM;ths2dymx;1;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
SBE;ths2dymx;12;01.01.2022 00:00;01.04.2023 00:00;MeteoSchweiz
SBE;ths2dymx;12;01.06.2023 00:00;01.06.2023 00:00;MeteoSchweiz
CHM;ths2dymx;1;01.08.2023 00:00;01.09.2024 00:00;MeteoSchweiz
LUG;ths2dymx;1;01.07.1864 00:00;01.04.2012 00:00;MeteoSchweiz
OTL;ths2dymx;1;01.01.2022 00:00;01.04.2023 00:00;MeteoSchweiz
GSB;ths2dymx;1;01.01.1864 00:00;01.12.1900 00:00;MeteoSchweiz
