STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
CHU;nto000d0;1;01.06.1977 00:00;30.06.1977 00:00;MeteoSchweiz
SAE;nto000d0;1;09.06.2004 00:00;31.12.2004 00:00;MeteoSchweiz
GSB;nto000d0;1;01.01.2006 00:00;30.04.2012 00:00;MeteoSchweiz
LUG;nto000d0;1;09.06.2004 00:00;31.12.2004 00:00;MeteoSchweiz
MER;nto000d0;1;09.06.2004 00:00;31.12.2004 00:00;MeteoSchweiz
OTL;nto000d0;1;01.06.1977 00:00;30.06.1977 00:00;MeteoSchweiz
VAD;nto000d0;1;02.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
SAM;nto000d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
CHU;nto000m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
ULR;nto000m0;1;01.04.2024 00:00;01.07.2024 00:00;MeteoSchweiz
ALT;nto000m0;1;01.11.2004 00:00;01.12.2004 00:00;MeteoSchweiz
ALT;nto000m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
ROB;nto000m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
TAV;nto000m0;1;01.07.2006 00:00;01.09.2007 00:00;MeteoSchweiz
BAS;nto000m0;1;01.09.2004 00:00;01.09.2004 00:00;MeteoSchweiz
BAS;nto000m0;1;01.01.2022 00:00;01.08.2022 00:00;MeteoSchweiz
GSB;nto000m0;1;01.11.2004 00:00;01.12.2004 00:00;MeteoSchweiz
LUG;nto000m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
MER;nto000m0;1;01.08.2005 00:00;01.08.2005 00:00;MeteoSchweiz
MER;nto000m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
KLO;nto000m0;1;01.06.1977 00:00;01.06.1977 00:00;MeteoSchweiz
KLO;nto000m0;1;01.11.2004 00:00;01.12.2004 00:00;MeteoSchweiz
KLO;nto000m0;1;01.01.2022 00:00;01.08.2022 00:00;MeteoSchweiz
JUN;nto000m0;1;01.08.2005 00:00;01.08.2005 00:00;MeteoSchweiz
BUS;nto000m0;1;01.01.2022 00:00;01.08.2022 00:00;MeteoSchweiz
ALT;nto000y0;1;01.01.2006 00:00;01.01.2006 00:00;MeteoSchweiz
SAM;nto000y0;1;01.01.2006 00:00;01.01.2006 00:00;MeteoSchweiz
ALT;ntond2m0;1;01.01.2009 00:00;01.05.2009 00:00;MeteoSchweiz
ROB;ntond2m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
TAV;ntond2m0;1;01.12.2007 00:00;01.12.2007 00:00;MeteoSchweiz
TAV;ntond2m0;1;01.02.2008 00:00;01.03.2008 00:00;MeteoSchweiz
TAV;ntond2m0;1;01.01.2009 00:00;01.05.2009 00:00;MeteoSchweiz
TAV;ntond2m0;1;01.07.2011 00:00;01.10.2011 00:00;MeteoSchweiz
TAV;ntond2m0;1;01.12.2022 00:00;01.04.2023 00:00;MeteoSchweiz
SAE;ntond2m0;1;01.02.2011 00:00;01.05.2011 00:00;MeteoSchweiz
SAE;ntond2m0;1;01.07.2011 00:00;01.04.2012 00:00;MeteoSchweiz
GSB;ntond2m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
PAY;ntond2m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
PAY;ntond2m0;1;01.11.2009 00:00;01.11.2010 00:00;MeteoSchweiz
PAY;ntond2m0;1;01.02.2011 00:00;01.05.2011 00:00;MeteoSchweiz
SMA;ntond2m0;1;01.01.2009 00:00;01.05.2009 00:00;MeteoSchweiz
SMA;ntond2m0;1;01.08.2009 00:00;01.08.2009 00:00;MeteoSchweiz
SMA;ntond2m0;1;01.07.2011 00:00;01.04.2012 00:00;MeteoSchweiz
LUG;ntond2m0;1;01.10.2008 00:00;01.11.2008 00:00;MeteoSchweiz
LUG;ntond2m0;1;01.11.2023 00:00;01.12.2023 00:00;MeteoSchweiz
AIG;ntond2m0;1;01.11.2007 00:00;01.08.2008 00:00;MeteoSchweiz
SIO;ntond2m0;1;01.11.2009 00:00;01.11.2010 00:00;MeteoSchweiz
MER;ntond2m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
KLO;ntond2m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
KLO;ntond2m0;1;01.11.2007 00:00;01.08.2008 00:00;MeteoSchweiz
KLO;ntond2m0;1;01.11.2009 00:00;01.11.2010 00:00;MeteoSchweiz
KLO;ntond2m0;1;01.12.2022 00:00;01.04.2023 00:00;MeteoSchweiz
JUN;ntond2m0;1;01.01.2009 00:00;01.05.2009 00:00;MeteoSchweiz
OTL;ntond2m0;1;01.11.2007 00:00;01.08.2008 00:00;MeteoSchweiz
OTL;ntond2m0;1;01.10.2008 00:00;01.11.2008 00:00;MeteoSchweiz
OTL;ntond2m0;1;01.01.2009 00:00;01.05.2009 00:00;MeteoSchweiz
OTL;ntond2m0;1;01.11.2009 00:00;01.11.2010 00:00;MeteoSchweiz
OTL;ntond2m0;1;01.04.2011 00:00;01.05.2011 00:00;MeteoSchweiz
SAM;ntond2m0;1;01.11.2007 00:00;01.08.2008 00:00;MeteoSchweiz
BUS;ntond2m0;1;01.11.2007 00:00;01.08.2008 00:00;MeteoSchweiz
BUS;ntond2m0;1;01.02.2011 00:00;01.05.2011 00:00;MeteoSchweiz
BUS;ntond2m0;1;01.01.2023 00:00;01.04.2023 00:00;MeteoSchweiz
CHU;ntond8m0;1;01.09.2023 00:00;01.09.2023 00:00;MeteoSchweiz
ULR;ntond8m0;1;01.02.2011 00:00;01.05.2011 00:00;MeteoSchweiz
ROB;ntond8m0;1;01.07.2011 00:00;01.04.2012 00:00;MeteoSchweiz
TAV;ntond8m0;1;01.12.2007 00:00;01.12.2007 00:00;MeteoSchweiz
TAV;ntond8m0;1;01.10.2022 00:00;01.10.2022 00:00;MeteoSchweiz
SAE;ntond8m0;1;01.10.2008 00:00;01.11.2008 00:00;MeteoSchweiz
SAE;ntond8m0;1;01.08.2009 00:00;01.08.2009 00:00;MeteoSchweiz
BAS;ntond8m0;1;01.11.2007 00:00;01.08.2008 00:00;MeteoSchweiz
GSB;ntond8m0;1;01.11.2009 00:00;01.11.2010 00:00;MeteoSchweiz
LUG;ntond8m0;1;01.11.2007 00:00;01.08.2008 00:00;MeteoSchweiz
LUG;ntond8m0;1;01.01.2009 00:00;01.05.2009 00:00;MeteoSchweiz
LUG;ntond8m0;1;01.08.2009 00:00;01.08.2009 00:00;MeteoSchweiz
AIG;ntond8m0;1;01.02.2011 00:00;01.05.2011 00:00;MeteoSchweiz
SIO;ntond8m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
SIO;ntond8m0;1;01.10.2008 00:00;01.11.2008 00:00;MeteoSchweiz
KLO;ntond8m0;1;01.01.2009 00:00;01.05.2009 00:00;MeteoSchweiz
JUN;ntond8m0;1;01.02.2011 00:00;01.05.2011 00:00;MeteoSchweiz
OTL;ntond8m0;1;01.08.2009 00:00;01.08.2009 00:00;MeteoSchweiz
OTL;ntond8m0;1;01.06.2023 00:00;01.08.2024 00:00;MeteoSchweiz
SAM;ntond8m0;1;01.08.2009 00:00;01.08.2009 00:00;MeteoSchweiz
BUS;ntond8m0;1;01.10.2022 00:00;01.11.2022 00:00;MeteoSchweiz
CHU;w1pnd0m0;1;01.12.2008 00:00;01.04.2009 00:00;MeteoSchweiz
