parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
est000d0;Tag mit Schneedecke;jour avec couverture neigeuse;Giorno con neve al suolo;Day with snow coverage;Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;D;0;Integer;y/n
estnd0m0;Tage des Monats mit Schneedecke;jours du mois avec couverture neigeuse;Giorni al mese con neve al suolo;Days of the month with snow coverage;Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;M;0;Integer;No
estnd0y0;Tage des Jahres mit Schneedecke;jours del'année avec couverture nuageuse;Giorni all'anno con neve sul terreno;Days of the year with snow coverage;Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;Y;0;Integer;No
nto000d0;"Gesamtbewölkung; Tagesmittel";"couverture nuageuse totale; moyenne journalière";"Nuvolosità; media giornaliera";"Cloud cover; daily mean";Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;D;0;Integer;%
nto000m0;"Gesamtbewölkung; Monatsmittel";"couverture nuageuse totale; moyenne mensuelle";"Nuvolosità; media mensile";"Total cloud cover; monthly mean";Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;M;0;Integer;%
nto000y0;"Gesamtbewölkung; Jahresmittel";"couverture nuageuse totale; moyenne annuelle";"Nuvolosità; media annuale";"Total cloud cover; annual mean";Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;Y;0;Integer;%
nto002d0;"Heiterer Tag; Bewölkungsmittel kleiner 20 %";"jour clair; nébulosité moyenne < 20%";"Giorni chiari; nuvolosità media < 20 %";"Serene day; Mean cloud cover below 20 %";Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;D;0;Integer;y/n
nto008d0;"Trüber Tag; Bewölkungsmittel grösser 80 %";"jour couvert; couverture nuageuse moyenne > 80%";"Giorni scuri; nuvolosità media > 80%";"Dark day; Mean cloud cover over 80 %";Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;D;0;Integer;y/n
ntond2m0;"Heitere Tage des Monats; Bewölkungsmittel kleiner 20 %";"jours clairs du mois; jours avec nébulosité moyenne < 20%";"Giorni chiari mensili; nuvolosità media < 20 %";"Serene days of the month; Mean cloud cover below 20 %";Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;M;0;Integer;No
ntond2y0;"Heitere Tage des Jahres; Bewölkungsmittel kleiner 20 %";"jours clairs de l'année; jours avec nébulosité moyenne < 20%";"Giorni chiari annuali; nuvolosità media < 20 %";"Serene days of the year; Mean cloud cover below 20 %";Augenbeobachtung;observations visuelles;osservazioni visive;visual observation;Y;0;Integer;No
