STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
RAC;maesh13d;1;01.01.2009 00:00;01.01.2010 00:00;MeteoSchweiz
RAC;maesh13d;1;01.01.2019 00:00;01.01.2019 00:00;MeteoSchweiz
RAC;msora13d;1;01.01.2018 00:00;01.01.2018 00:00;MeteoSchweiz
RAC;mcora13d;1;01.01.2014 00:00;01.01.2022 00:00;MeteoSchweiz
RAC;mtilp65d;1;01.01.2015 00:00;01.01.2016 00:00;MeteoSchweiz
RAC;msamn65d;1;01.01.2022 00:00;01.01.2024 00:00;MeteoSchweiz
RAC;mtilc94d;1;01.01.2011 00:00;01.01.2011 00:00;MeteoSchweiz
RAC;mlard95d;1;01.01.2014 00:00;01.01.2014 00:00;MeteoSchweiz
RAC;mrobp60d;1;01.01.2020 00:00;01.01.2024 00:00;MeteoSchweiz
RAC;mrobp65d;1;01.01.2017 00:00;01.01.2017 00:00;MeteoSchweiz
RAC;mrobp65d;1;01.01.2024 00:00;01.01.2024 00:00;MeteoSchweiz
RAC;mbetp60d;1;01.01.2014 00:00;01.01.2018 00:00;MeteoSchweiz
RAC;mbetp60d;1;01.01.2021 00:00;01.01.2021 00:00;MeteoSchweiz
RAC;mcass65d;1;01.01.2015 00:00;01.01.2017 00:00;MeteoSchweiz
RAC;mcarp65d;1;01.01.2008 00:00;01.01.2018 00:00;MeteoSchweiz
RAC;mcarp65d;1;01.01.2020 00:00;01.01.2021 00:00;MeteoSchweiz
RAC;mcarp65d;1;01.01.2023 00:00;01.01.2024 00:00;MeteoSchweiz
RAC;mprua60d;1;01.01.2024 00:00;01.01.2024 00:00;MeteoSchweiz
RAC;mpyrc60d;1;01.01.2008 00:00;01.01.2009 00:00;MeteoSchweiz
RAC;mmald65d;1;01.01.2015 00:00;01.01.2015 00:00;MeteoSchweiz
RAC;mvitv89d;1;01.01.2008 00:00;01.01.2017 00:00;MeteoSchweiz
RAC;mvitv89d;1;01.01.2019 00:00;01.01.2022 00:00;MeteoSchweiz
SEL;maesh94d;1;01.01.2010 00:00;01.01.2011 00:00;MeteoSchweiz
SEL;mfags94d;1;01.01.2010 00:00;01.01.2011 00:00;MeteoSchweiz
SEL;mfags94d;1;01.01.2019 00:00;01.01.2019 00:00;MeteoSchweiz
SEL;mfags95d;1;01.01.2019 00:00;01.01.2019 00:00;MeteoSchweiz
SEL;macep94d;1;01.01.2010 00:00;01.01.2011 00:00;MeteoSchweiz
SEL;msora95d;1;01.01.2013 00:00;01.01.2014 00:00;MeteoSchweiz
SEL;mcora60d;1;01.01.2010 00:00;01.01.2017 00:00;MeteoSchweiz
SEL;mcora65d;1;01.01.2010 00:00;01.01.2017 00:00;MeteoSchweiz
SEL;mtilp60d;1;01.01.2010 00:00;01.01.2010 00:00;MeteoSchweiz
SEL;mtilp60d;1;01.01.2019 00:00;01.01.2019 00:00;MeteoSchweiz
SEL;msamn60d;1;01.01.2010 00:00;01.01.2011 00:00;MeteoSchweiz
SEL;msamn87d;1;01.01.2013 00:00;01.01.2014 00:00;MeteoSchweiz
SEL;mtilc60d;1;01.01.2010 00:00;01.01.2010 00:00;MeteoSchweiz
SEL;mtilc60d;1;01.01.2019 00:00;01.01.2019 00:00;MeteoSchweiz
SEL;mtilc94d;1;01.01.2010 00:00;01.01.2011 00:00;MeteoSchweiz
SEL;mlard95d;1;01.01.2019 00:00;01.01.2019 00:00;MeteoSchweiz
SEL;mpica13d;1;01.01.2019 00:00;01.01.2020 00:00;MeteoSchweiz
SEL;mrobp60d;1;01.01.2010 00:00;01.01.2010 00:00;MeteoSchweiz
SEL;mrobp65d;1;01.01.2019 00:00;01.01.2020 00:00;MeteoSchweiz
SEL;mbetp60d;1;01.01.2010 00:00;01.01.2017 00:00;MeteoSchweiz
SEL;mbetp94d;1;01.01.2019 00:00;01.01.2019 00:00;MeteoSchweiz
SEL;mcass13d;1;01.01.2010 00:00;01.01.2016 00:00;MeteoSchweiz
SEL;mcass94d;1;01.01.2013 00:00;01.01.2014 00:00;MeteoSchweiz
SEL;mcarp65d;1;01.01.2010 00:00;01.01.2017 00:00;MeteoSchweiz
SEL;mprua65d;1;01.01.2010 00:00;01.01.2017 00:00;MeteoSchweiz
SEL;mprua65d;1;01.01.2019 00:00;01.01.2020 00:00;MeteoSchweiz
SEL;mmald60d;1;01.01.2010 00:00;01.01.2016 00:00;MeteoSchweiz
SEL;mhayxhsd;1;01.01.2010 00:00;01.01.2011 00:00;MeteoSchweiz
HOC;msora95d;1;01.01.2008 00:00;01.01.2022 00:00;MeteoSchweiz
HOC;mcass60d;1;01.01.2008 00:00;01.01.2024 00:00;MeteoSchweiz
HOC;mcass87d;1;01.01.2008 00:00;01.01.2008 00:00;MeteoSchweiz
HOC;mdacg65d;1;01.01.2008 00:00;01.01.2023 00:00;MeteoSchweiz
HOC;mleuv65d;1;01.01.2008 00:00;01.01.2023 00:00;MeteoSchweiz
UNT;mfags13d;1;01.01.2007 00:00;01.01.2024 00:00;MeteoSchweiz
UNT;mfags95d;1;01.01.2007 00:00;01.01.2022 00:00;MeteoSchweiz
UNT;mtilp60d;1;01.01.2008 00:00;01.01.2020 00:00;MeteoSchweiz
UNT;msamr60d;1;01.01.2009 00:00;01.01.2014 00:00;MeteoSchweiz
UNT;msamr65d;1;01.01.2024 00:00;01.01.2024 00:00;MeteoSchweiz
UNT;msamn65d;1;01.01.2022 00:00;01.01.2024 00:00;MeteoSchweiz
UNT;mtilc94d;1;01.01.2007 00:00;01.01.2022 00:00;MeteoSchweiz
UNT;mlard94d;1;01.01.2007 00:00;01.01.2020 00:00;MeteoSchweiz
UNT;mrobp95d;1;01.01.2007 00:00;01.01.2012 00:00;MeteoSchweiz
UNT;mbetp65d;1;01.01.2007 00:00;01.01.2015 00:00;MeteoSchweiz
UNT;manen65d;1;01.01.2007 00:00;01.01.2024 00:00;MeteoSchweiz
UNT;mleuv65d;1;01.01.2007 00:00;01.01.2024 00:00;MeteoSchweiz
UNT;mprua65d;1;01.01.2007 00:00;01.01.2024 00:00;MeteoSchweiz
JET;maesh65d;1;01.01.2010 00:00;01.01.2010 00:00;MeteoSchweiz
JET;maesh94d;1;01.01.2010 00:00;01.01.2013 00:00;MeteoSchweiz
JET;mfags13d;1;01.01.2008 00:00;01.01.2008 00:00;MeteoSchweiz
JET;mfags94d;1;01.01.2010 00:00;01.01.2018 00:00;MeteoSchweiz
JET;macep13d;1;01.01.2010 00:00;01.01.2024 00:00;MeteoSchweiz
JET;msora65d;1;01.01.2012 00:00;01.01.2012 00:00;MeteoSchweiz
JET;msora87d;1;01.01.2008 00:00;01.01.2008 00:00;MeteoSchweiz
JET;mcora60d;1;01.01.2018 00:00;01.01.2018 00:00;MeteoSchweiz
JET;mtilp60d;1;01.01.2008 00:00;01.01.2008 00:00;MeteoSchweiz
JET;mtilp94d;1;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
JET;msamr60d;1;01.01.2021 00:00;01.01.2024 00:00;MeteoSchweiz
JET;msamr87d;1;01.01.2016 00:00;01.01.2016 00:00;MeteoSchweiz
JET;msamn65d;1;01.01.2008 00:00;01.01.2008 00:00;MeteoSchweiz
JET;mtilc94d;1;01.01.2012 00:00;01.01.2017 00:00;MeteoSchweiz
JET;mrobp60d;1;01.01.2020 00:00;01.01.2024 00:00;MeteoSchweiz
JET;mrobp65d;1;01.01.2008 00:00;01.01.2008 00:00;MeteoSchweiz
JET;mrobp65d;1;01.01.2018 00:00;01.01.2018 00:00;MeteoSchweiz
JET;mbetp94d;1;01.01.2010 00:00;01.01.2020 00:00;MeteoSchweiz
JET;mtusf65d;1;01.01.2017 00:00;01.01.2024 00:00;MeteoSchweiz
JET;manen65d;1;01.01.2010 00:00;01.01.2024 00:00;MeteoSchweiz
JET;mleuv65d;1;01.01.2008 00:00;01.01.2008 00:00;MeteoSchweiz
JET;mpyrc65d;1;01.01.2008 00:00;01.01.2008 00:00;MeteoSchweiz
PST;maesh65d;1;01.01.2010 00:00;01.01.2024 00:00;MeteoSchweiz
PST;msamr60d;1;01.01.2010 00:00;01.01.2024 00:00;MeteoSchweiz
PST;msamn60d;1;01.01.2010 00:00;01.01.2024 00:00;MeteoSchweiz
PST;msamn87d;1;01.01.2010 00:00;01.01.2024 00:00;MeteoSchweiz
PST;mtilc13d;1;01.01.2019 00:00;01.01.2024 00:00;MeteoSchweiz
