parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
macep13d;Bergahorn - Blattentfaltung (50%);Erable de montagne - déploiement des feuilles (50%);Acero di monte - spiegamento delle foglie (50%);Sycamore maple - leaf unfolding (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
macep94d;Bergahorn - Blattverfärbung (50%);Erable de montagne - coloration des feuilles (50%);Acero di monte - colorazione delle foglie (50%);Sycamore maple - leaf colouring (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
maesh09d;Rosskastanie - Blattausbruch;Marronier - éclosion du premier bourgeon;Ippocastano - germoglio della prima gemma;Horse chestnut - budbreak;Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
maesh13d;Rosskastanie - Blattentfaltung (50%);Marronnier - déploiement des feuilles (50%);Ippocastano - spiegamento delle foglie (50%);Horse chestnut - leaf unfolding (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
maesh60d;Rosskastanie - Beginn der Blüte;Marronnier - début de la floraison;Ippocastano - inizio della fioritura;Horse chestnut - start of flowering;Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
maesh65d;Rosskastanie - Blüte (50%);Marronnier - floraison (50%);Ippocastano - fioritura (50%);Horse chestnut - flowering (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
maesh94d;Rosskastanie - Blattverfärbung (50%);Marronnier - coloration des feuilles (50%);Ippocastano - colorazione delle foglie (50%);Horse chestnut - leaf colouring (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
maesh95d;Rosskastanie - Blattfall (50%);Marronnier - chute des feuilles (50%);Ippocastano - caduta delle foglie (50%);Horse chestnut - leaf drop (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
manen65d;Buschwindröschen - Blüte (50%);Anémone des bois - floraison (50%);Anemone bianca - fioritura (50%);Wood anemone - flowering (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
mbetp13d;Hängebirke - Blattentfaltung (50%);Bouleau pendant - déploiement des feuilles (50%);Betulla verrucosa - spiegamento delle foglie (50%);European white birch - leaf unfolding (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
mbetp60d;Hängebirke - Beginn der Blüte;Bouleau pendant - début de la floraison;Betulla verrucosa - inizio della fioritura;European white birch - start of flowering;Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
mbetp65d;Hängebirke - Blüte (50%);Bouleau pendant - floraison (50%);Betulla verrucosa - fioritura (50%);European white birch - flowering (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
mbetp94d;Hängebirke - Blattverfärbung (50%);Bouleau pendant - coloration des feuilles (50%);Betulla verrucosa - colorazione delle foglie (50%);European white birch - leaf colouring (50%);Phänologie;phénologie;fenologia;phenology;Y;0;Integer;Datum/DOY
