STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
PZH;kaalnud0;1;02.01.2012 00:00;30.04.2012 00:00;MeteoSchweiz
PZH;kabetud0;1;01.01.1999 00:00;30.09.1999 00:00;MeteoSchweiz
PZH;kacoryd0;1;05.01.2009 00:00;30.09.2009 00:00;MeteoSchweiz
PZH;kacoryd0;1;03.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PZH;kafagud0;1;02.01.2006 00:00;30.09.2006 00:00;MeteoSchweiz
PZH;kafagud0;1;03.01.2008 00:00;05.10.2008 00:00;MeteoSchweiz
PZH;kafagud0;1;03.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PZH;kafagud0;1;01.01.2023 00:00;18.12.2024 00:00;MeteoSchweiz
PZH;kafraxd0;1;02.01.2006 00:00;30.09.2006 00:00;MeteoSchweiz
PZH;kafraxd0;1;02.01.2012 00:00;30.04.2012 00:00;MeteoSchweiz
PZH;kabetud1;1;04.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PZH;kafraxd1;1;04.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PZH;khpoacd1;1;04.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PZH;khpoacd1;1;02.01.2023 00:00;18.12.2024 00:00;MeteoSchweiz
PZH;kacoryh0;1;01.01.2022 00:00;;MeteoSchweiz
PLO;kaalnud0;1;05.01.2009 00:00;04.10.2009 00:00;MeteoSchweiz
PLO;kaalnud0;1;03.01.2011 00:00;02.10.2011 00:00;MeteoSchweiz
PLO;kabetud0;1;03.01.2008 00:00;05.10.2008 00:00;MeteoSchweiz
PLO;kafagud0;1;03.01.2011 00:00;02.10.2011 00:00;MeteoSchweiz
PLO;kaquerd0;1;02.01.2012 00:00;30.04.2012 00:00;MeteoSchweiz
PLO;khpoacd0;1;09.01.2006 00:00;30.09.2006 00:00;MeteoSchweiz
PLO;khpoacd0;1;03.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PLO;kafagud1;1;04.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PLO;kafagud1;1;02.01.2023 00:00;18.12.2024 00:00;MeteoSchweiz
PLO;kabetuh0;1;10.01.2022 12:00;;MeteoSchweiz
PBS;kaalnud0;1;02.01.2006 00:00;01.10.2006 00:00;MeteoSchweiz
PBS;kaalnud0;1;04.01.2010 00:00;03.10.2010 00:00;MeteoSchweiz
PBS;kaalnud0;1;02.01.2012 00:00;30.04.2012 00:00;MeteoSchweiz
PBS;kabetud0;1;03.01.2008 00:00;05.10.2008 00:00;MeteoSchweiz
PBS;kabetud0;1;04.01.2010 00:00;03.10.2010 00:00;MeteoSchweiz
PBS;kacoryd0;1;03.01.2011 00:00;02.10.2011 00:00;MeteoSchweiz
PBS;kafagud0;1;01.01.2007 00:00;30.09.2007 00:00;MeteoSchweiz
PBS;kafraxd0;1;03.01.2011 00:00;02.10.2011 00:00;MeteoSchweiz
PBS;kaquerd0;1;03.01.2011 00:00;02.10.2011 00:00;MeteoSchweiz
PBS;kaalnud1;1;04.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PBS;kafraxh0;1;01.01.2022 00:00;;MeteoSchweiz
PBE;kaalnud0;1;02.01.2006 00:00;01.10.2006 00:00;MeteoSchweiz
PBE;kabetud0;1;01.02.1990 00:00;30.09.1990 00:00;MeteoSchweiz
PBE;kabetud0;1;03.01.2011 00:00;02.10.2011 00:00;MeteoSchweiz
PBE;kafagud0;1;03.02.1992 00:00;28.09.1992 00:00;MeteoSchweiz
PBE;kafraxd0;1;01.02.1990 00:00;30.09.1990 00:00;MeteoSchweiz
PBE;kafraxd0;1;05.01.2009 00:00;04.10.2009 00:00;MeteoSchweiz
PBE;kafraxd0;1;02.01.2012 00:00;30.04.2012 00:00;MeteoSchweiz
PBE;kaquerd0;1;03.02.1992 00:00;28.09.1992 00:00;MeteoSchweiz
PBE;kaquerd0;1;04.01.2010 00:00;03.10.2010 00:00;MeteoSchweiz
PBE;khpoacd0;1;01.01.2023 00:00;18.12.2024 00:00;MeteoSchweiz
PBE;kabetud1;1;04.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PBE;kacoryd1;1;02.01.2023 00:00;18.12.2024 00:00;MeteoSchweiz
PBE;kafraxd1;1;04.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PBE;kaalnuh0;1;01.01.2023 00:00;;MeteoSchweiz
PBU;kaalnud0;1;09.01.2006 00:00;30.09.2006 00:00;MeteoSchweiz
PBU;kaalnud0;1;03.01.2011 00:00;02.10.2011 00:00;MeteoSchweiz
PBU;kabetud0;1;08.01.2007 00:00;30.09.2007 00:00;MeteoSchweiz
PBU;kabetud0;1;07.01.2008 00:00;05.10.2008 00:00;MeteoSchweiz
PBU;kabetud0;1;01.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PBU;kafraxd0;1;05.01.2009 00:00;04.10.2009 00:00;MeteoSchweiz
PBU;kaquerd0;1;07.01.2008 00:00;05.10.2008 00:00;MeteoSchweiz
PBU;kaquerd0;1;04.01.2010 00:00;03.10.2010 00:00;MeteoSchweiz
PBU;khpoacd0;1;01.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PBU;kafagud1;1;14.12.2022 00:00;18.12.2024 00:00;MeteoSchweiz
PBU;kaquerd1;1;01.01.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PDS;kaalnud0;1;01.03.2010 00:00;03.10.2010 00:00;MeteoSchweiz
PDS;kaalnud0;1;28.02.2011 00:00;02.10.2011 00:00;MeteoSchweiz
PDS;kaalnud0;1;05.03.2012 00:00;30.04.2012 00:00;MeteoSchweiz
PDS;kaalnud0;1;01.03.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PDS;kabetud0;1;01.03.2022 00:00;30.09.2022 00:00;MeteoSchweiz
PDS;kabetud0;1;01.01.2023 00:00;18.12.2024 00:00;MeteoSchweiz
PDS;kafraxd0;1;06.03.2006 00:00;30.09.2006 00:00;MeteoSchweiz
PDS;kaquerd0;1;01.03.2010 00:00;03.10.2010 00:00;MeteoSchweiz
PDS;kaquerd0;1;28.02.2011 00:00;02.10.2011 00:00;MeteoSchweiz
