parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
kaalnud0;"Erle; mittlere tägliche Pollenkonzentration";"Aune; concentration pollinique journalière moyenne";"Ontano; media giornaliera della concentrazione pollinica";"Alder; daily average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kaalnud1;"Erle; mittlere tägliche Pollenkonzentration 0-0 UTC";"Aune; concentration pollinique journalière moyenne 0-0 UTC";"Ontano; media giornaliera della concentrazione pollinica 0-0 UTC";"Alder; daily average pollen concentration 0-0 UTC";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kaalnuh0;"Erle; mittlere stündliche Pollenkonzentration";"Aune; concentration pollinique moyenne horaire";"Ontano; media oraria della concentrazione pollinica";"Alder; hourly average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;H;0;Integer;No/m³
kabetud0;"Birke; mittlere tägliche Pollenkonzentration";"Bouleau; concentration pollinique journalière moyenne";"Betulla; media giornaliera della concentrazione pollinica";"Birch; daily average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kabetud1;"Birke ; mittlere tägliche Pollenkonzentration 0-0 UTC";"Bouleau; concentration pollinique journalière moyenne 0-0 UTC";"Betulla; media giornaliera della concentrazione pollinica 0-0 UTC";"Birch; daily average pollen concentration 0-0 UTC";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kabetuh0;"Birke; mittlere stündliche Pollenkonzentration";"Bouleau; concentration pollinique moyenne horaire";"Betulla; media oraria della concentrazione pollinica";"Birch; hourly average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;H;0;Integer;No/m³
kacoryd0;"Hasel; mittlere tägliche Pollenkonzentration";"Noisetier; concentration pollinique journalière moyenne";"Nocciolo; media giornaliera della concentrazione pollinica";"Hazel; daily average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kacoryd1;"Hasel; mittlere tägliche Pollenkonzentration 0-0 UTC";"Noisetier; concentration pollinique journalière moyenne 0-0 UTC";"Nocciolo; media giornaliera della concentrazione pollinica 0-0 UTC";"Hazel; daily average pollen concentration 0-0 UTC";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kacoryh0;"Hasel; mittlere stündliche Pollenkonzentration";"Noisetier; concentration pollinique moyenne horaire";"Nocciolo; media oraria della concentrazione pollinica";"Hazel; hourly average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;H;0;Integer;No/m³
kafagud0;"Buche; mittlere tägliche Pollenkonzentration";"Hêtre; concentration pollinique journalière moyenne";"Faggio; media giornaliera della concentrazione pollinica";"Beech; daily average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kafagud1;"Buche; mittlere tägliche Pollenkonzentration 0-0 UTC";"Hêtre; concentration pollinique journalière moyenne 0-0 UTC";"Faggio; media giornaliera della concentrazione pollinica 0-0 UTC";"Beech; daily average pollen concentration 0-0 UTC";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kafaguh0;"Buche; mittlere stündliche Pollenkonzentration";"Hêtre; concentration pollinique moyenne horaire";"Faggio; media oraria della concentrazione pollinica";"Beech; hourly average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;H;0;Integer;No/m³
kafraxd0;"Gemeine Esche; mittlere tägliche Pollenkonzentration";"Frêne commun; concentration pollinique journalière moyenne";"Frassino comune; media giornaliera della concentrazione pollinica";"Common ash; daily average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kafraxd1;"Gemeine Esche; mittlere tägliche Pollenkonzentration 0-0 UTC";"Frêne commun; concentration pollinique journalière moyenne 0-0 UTC";"Frassino comune; media giornaliera della concentrazione pollinica 0-0 UTC";"Common ash; daily average pollen concentration 0-0 UTC";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
kafraxh0;"Gemeine Esche; mittlere stündliche Pollenkonzentration";"Frêne commun; concentration pollinique moyenne horaire";"Frassino comune; media oraria della concentrazione pollinica";"Common ash; hourly average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;H;0;Integer;No/m³
kaquerd0;"Eiche; mittlere tägliche Pollenkonzentration";"Chêne; concentration pollinique journalière moyenne";"Quercia; media giornaliera della concentrazione pollinica";"Oak; daily average pollen concentration";Pollendaten;données de pollen;dati sui pollini;pollen data;D;0;Integer;No/m³
