STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
AFI;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
WIT;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
HIW;rre150z0;1;01.01.2022 00:00;23.10.2024 12:00;MeteoSchweiz
LEU;rre150z0;1;01.01.2022 00:00;03.07.2024 06:50;MeteoSchweiz
KUE;rre150z0;1;01.01.2022 00:00;24.10.2024 06:30;MeteoSchweiz
LSN;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
OBI;rre150z0;1;29.05.2024 04:30;;MeteoSchweiz
EGR;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
FIO;rre150z0;1;01.01.2022 00:00;02.07.2024 07:50;MeteoSchweiz
ESZ;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
COU;rre150z0;1;29.05.2024 04:30;;MeteoSchweiz
MMO;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
FAI;rre150z0;1;01.01.2022 00:00;25.07.2024 07:10;MeteoSchweiz
ROT;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
SUA;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
AUB;rre150z0;1;01.01.2022 00:00;08.11.2024 08:50;MeteoSchweiz
VSSFE;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
ROG;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
VSDER;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
VSCOL;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
AGSTE;rre150z0;1;01.01.2022 00:00;;MeteoSchweiz
THS;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
LOH;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
SNG;rre150d0;1;01.01.1951 00:00;31.12.2004 00:00;MeteoSchweiz
SNG;rre150d0;1;01.11.2022 00:00;18.12.2024 00:00;"Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer"
AFI;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
GTT;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
GAD;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
KAI;rre150d0;1;01.01.2022 00:00;24.06.2024 00:00;MeteoSchweiz
SAN;rre150d0;1;01.01.1961 00:00;31.07.1972 00:00;MeteoSchweiz
COL;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
LTB;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
WIT;rre150d0;1;01.09.2007 00:00;31.12.2011 00:00;MeteoSchweiz
FLW;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
VRI;rre150d0;1;09.01.1915 00:00;30.01.1915 00:00;MeteoSchweiz
VRI;rre150d0;1;30.05.1931 00:00;30.05.1931 00:00;MeteoSchweiz
VRI;rre150d0;1;25.09.1956 00:00;25.09.1956 00:00;MeteoSchweiz
ZEV;rre150d0;1;01.01.1970 00:00;31.12.2004 00:00;MeteoSchweiz
ZEV;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
CTO;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
OBI;rre150d0;1;01.01.1959 00:00;31.12.2004 00:00;MeteoSchweiz
LON;rre150d0;1;01.01.1900 00:00;31.12.2004 00:00;MeteoSchweiz
EGR;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
MAL;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
BRP;rre150d0;1;01.10.1900 00:00;31.12.2004 00:00;MeteoSchweiz
MEV;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
COU;rre150d0;1;01.01.2022 00:00;30.01.2024 00:00;MeteoSchweiz
BOS;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
MAT;rre150d0;1;05.03.1927 00:00;05.03.1927 00:00;MeteoSchweiz
MAT;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
KLA;rre150d0;1;01.01.2006 00:00;30.04.2012 00:00;MeteoSchweiz
