parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
tso005d0;"Bodentemperatur 5 cm Tiefe; Tagesmittel";"température du sol à -5 cm; moyenne journalière";"Temperatura del suolo a -5 cm; media giornaliera";"Soil temperature at 5 cm depth; daily mean";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;D;1;Float;°C
tso005h0;"Bodentemperatur 5 cm Tiefe; Stundenmittel";"température du sol à -5 cm; moyenne horaire";"Temperatura del suolo a -5 cm; media oraria";"Soil temperature at 5 cm depth; hourly mean";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;H;1;Float;°C
tso005m0;"Bodentemperatur 5 cm Tiefe; Monatsmittel";"température du sol à -5 cm; moyenne mensuelle";"Temperatura del suolo a -5 cm; media mensile";"Soil temperature at 5 cm depth; monthly mean";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;M;1;Float;°C
tso005s0;"Bodentemperatur 5 cm Tiefe; Momentanwert";"température du sol à -5 cm; valeur instantanée";"Temperatura del suolo a -5 cm; valore momentaneo";"Soil temperature at 5 cm depth; current value";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;T;1;Float;°C
tso005y0;"Bodentemperatur 5 cm Tiefe; Jahresmittel";"température du sol à -5 cm; moyenne annuelle";"Temperatura del suolo a -5 cm; media annuale";"Soil temperature at 5 cm depth; annual mean";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;Y;1;Float;°C
tso010h0;"Bodentemperatur 10 cm Tiefe; bürgerliches Stundenmittel";"température du sol à -10 cm; moyenne horaire civile";"Temperatura del suolo a -10 cm; media oraria civile";"Soil temperature at 10 cm depth; civil hourly mean";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;H;1;Float;°C
tso010s0;"Bodentemperatur 10 cm Tiefe; Momentanwert";"température du sol à -10 cm; valeur instantanée";"Temperatura del suolo a -10 cm; valore momentaneo";"Soil temperature at 10 cm depth; current value";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;T;1;Float;°C
tso020h0;"Bodentemperatur 20 cm Tiefe; bürgerliches Stundenmittel";"température du sol à -20 cm; moyenne horaire civile";"Temperatura del suolo a -20 cm; media oraria civile";"Soil temperature at 20 cm depth; civil hourly mean";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;H;1;Float;°C
tso020s0;"Bodentemperatur 20 cm Tiefe; Momentanwert";"température du sol à -20 cm; valeur instantanée";"Temperatura del suolo a -20 cm; valore momentaneo";"Soil temperature at 20 cm depth; current value";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;T;1;Float;°C
tso030s0;"Bodentemperatur 30 cm Tiefe; Momentanwert";"température du sol à -30 cm; valeur instantanée";"Temperatura del suolo a -30 cm; valore momentaneo";soil temperature 30 cm depth, current value;Bodentemperatur;température du sol;temperatura del suolo;soil temperature;T;1;Float;°C
tso040h0;"Bodentemperatur 40 cm Tiefe; bürgerliches Stundenmittel";"température du sol à -40 cm; moyenne horaire civile";"Temperatura del suolo a -40 cm; media oraria civile";"Soil temperature at 40 cm depth; civil hourly mean";Bodentemperatur;température du sol;temperatura del suolo;soil temperature;H;1;Float;°C
uso005s0;"Bodenfeuchte -5 cm Tiefe N; Mittelwert 10 Minuten";"humidité du sol à -5 cm N; moyenne sur 10 minutes";"Umidità del suolo a 5 cm di profondità a N; media su 10'";"soil humidity -5cm N; 10 minute average";Bodenfeuchte;humidité du sol;umidità del suolo;soil humidity;T;2;Float;Vol%
uso010h0;"Bodenfeuchte 10 cm Tiefe N; Stundenmittel";"humidité du sol à -10 cm N; moyenne horaire";"Umidità del suolo a 10 cm di profondità a N; media oraria";"soil humidity -10cm N; hourly mean";Bodenfeuchte;humidité du sol;umidità del suolo;soil humidity;H;2;Float;Vol%
uso010s0;"Bodenfeuchte 10 cm Tiefe N; Momentanwert";"humidité du sol à -10 cm N; valeur instantanée";"Umidità del suolo a 10 cm di profondità a N; valore momentaneo";"humidity of soil 10 cm depth N; instantaneous value";Bodenfeuchte;humidité du sol;umidità del suolo;soil humidity;T;2;Float;Vol%
uso020h0;"Bodenfeuchte 20 cm Tiefe N; Stundenmittel";"humidité du sol à -20 cm N; moyenne horaire civile";"Umidità del suolo a 20 cm di profondità a N; media oraria civile";"soil humidity -20cm N; civil hourly mean";Bodenfeuchte;humidité du sol;umidità del suolo;soil humidity;H;2;Float;Vol%
uso020s0;"Bodenfeuchte 20 cm Tiefe N; Momentanwert";"humidité du sol à -20 cm N; moyenne sur 10 minutes";"Umidità del suolo a 20 cm di profondità a N; media su 10'";"soil humidity 20 cm depth N; instantaneous value";Bodenfeuchte;humidité du sol;umidità del suolo;soil humidity;T;2;Float;Vol%
uso040h0;"Bodenfeuchte 40 cm Tiefe N; Bürgerlichte Stunde";"humidité du sol à -40 cm N; moyenne horaire civile";"Umidità del suolo a 40 cm di profondità a N; media oraria civile";"soil humidity -40cm N; civil hourly mean";Bodenfeuchte;humidité du sol;umidità del suolo;soil humidity;H;2;Float;Vol%
uso040s0;"Bodenfeuchte 40 cm Tiefe N; Momentanwert";"humidité du sol à -40 cm N; moyenne sur 10 minutes";"Umidità del suolo a 40 cm di profondità a N; media su 10'";"soil humidity 40 cm depth N; instantaneous value";Bodenfeuchte;humidité du sol;umidità del suolo;soil humidity;T;2;Float;Vol%
