STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
STC;uretows0;1;01.01.2022 00:00;;MeteoSchweiz
STC;ta1towmn;1;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
STC;dv1towz0;1;01.01.2022 00:00;;MeteoSchweiz
STC;fk1towd0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
STC;fu3towz1;1;01.01.2022 00:00;;MeteoSchweiz
STC;fu3towd0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
BAN;fk1towh1;1;01.01.2022 00:00;;MeteoSchweiz
BAN;fk1towd0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
BAN;fu3towz1;1;01.01.2022 00:00;;MeteoSchweiz
BAN;fu3towd1;1;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
BAN;uretowh0;1;01.01.2022 00:00;;MeteoSchweiz
UEB;fu3towh0;1;01.01.2022 00:00;;MeteoSchweiz
UEB;ta1towh0;1;01.01.2022 00:00;;MeteoSchweiz
UEB;ta1towdx;1;06.06.2011 00:00;30.04.2012 00:00;MeteoSchweiz
UEB;ta1towdx;1;01.01.2022 00:00;03.12.2024 00:00;MeteoSchweiz
UEB;ta1towyn;1;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
UEB;ta1towhx;1;01.01.2022 00:00;;MeteoSchweiz
PSI;fk1towm0;1;01.10.2008 00:00;01.05.2009 00:00;Paul Scherrer Institut
PSI;fk1towm0;1;01.08.2009 00:00;01.08.2009 00:00;Paul Scherrer Institut
PSI;fk1towm1;1;01.04.2011 00:00;01.05.2011 00:00;Paul Scherrer Institut
PSI;ta1towh0;1;01.01.2022 00:00;;MeteoSchweiz
PSI;ta1towdx;1;01.01.2022 00:00;24.11.2023 00:00;MeteoSchweiz
PSI;ta1towmx;1;01.03.2024 00:00;01.08.2024 00:00;MeteoSchweiz
PSI;ta1towyx;1;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
PSI;ta1towyn;1;01.01.2012 00:00;01.01.2012 00:00;MeteoSchweiz
STC;gre000d0;1;01.06.2011 00:00;30.04.2012 00:00;MeteoSchweiz
