parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
dk1towh0;"Windrichtung Turm; Stundenmittel";"Direction du vent tour; moyenne horaire";"Direzione del vento torre; media oraria";"Wind direction tower; hourly mean";Wind;vent;vento;wind;H;0;Integer;°
dv1towz0;"Windrichtung vektoriell Turm; Zehnminutenmittel";"Direction du vent vectorielle tour; moyenne sur 10 minutes";"Direzione del vento vettoriale torre; media su 10'";Wind direction vectorial tower, ten minutes mean;Wind;vent;vento;wind;T;0;Integer;°
fk1towd0;"Windgeschwindigkeit skalar Turm; Tagesmittel";"Vitesse du vent scalaire tour; moyenne jourmnalière";"Velocità del vento scalare torre; media giornaliera";"Wind speed scalar tower; daily mean";Wind;vent;vento;wind;D;1;Float;m/s
fk1towd1;"Böenspitze (Sekundenböe) Turm; Tagesmaximum";"Rafale (intégration 1 s) tour; maximum journalier";"Raffica del vento (su un secondo) torre; massima giornaliera";"Gust peak (one second) tower; daily maximum";Wind;vent;vento;wind;D;1;Float;m/s
fk1towh0;"Windgeschwindigkeit skalar Turm; Stundenmittel";"Vitesse du vent scalaire tour; moyenne horaire";"Velocità del vento scalare torre; media oraria";"Wind speed scalar tower; hourly mean";Wind;vent;vento;wind;H;1;Float;m/s
fk1towh1;"Böenspitze (Sekundenböe) Turm; Stundenmaximum";"Rafale (intégration 1 s) tour; maximum horaire";"Raffica del vento (su un secondo) torre; massima oraria";"Gust peak (one second) tower; hourly maximum";Wind;vent;vento;wind;H;1;Float;m/s
fk1towm0;"Windgeschwindigkeit skalar Turm; Monatsmittel";"Vitesse du vent scalaire tour; moyenne mensuelle";"Velocità del vento scalare torre; media mensile";"Wind speed scalar tower; monthly mean";Wind;vent;vento;wind;M;1;Float;m/s
fk1towm1;"Böenspitze (Sekundenböe) Turm; Monatsmaximum";"Rafale (intégration 1 s) tour; maximum mensuel";"Raffica del vento (su un secondo) torre; massima mensile";"Gust peak (one second) tower; monthly maximum";Wind;vent;vento;wind;M;1;Float;m/s
fk1towy0;"Windgeschwindigkeit skalar Turm; Jahresmittel";"Vitesse du vent scalaire tour; moyenne anuelle";"Velocità del vento scalare torre; media annuale";"Wind speed scalar tower; annual mean";Wind;vent;vento;wind;Y;1;Float;m/s
fk1towy1;"Böenspitze (Sekundenböe) Turm; Jahresmaximum";"Rafale (intégration 1 s) tour; maximum annuel";"Raffica del vento (su un secondo) torre; massima annuale";"Gust peak (one second) tower; annual maximum";Wind;vent;vento;wind;Y;1;Float;m/s
fk1towz0;"Windgeschwindigkeit skalar Turm; Zehnminutenmittel";"Vitesse du vent scalaire tour; moyenne sur 10 minutes";"Velocità del vento scalare torre; media su 10'";"Wind speed scalar tower; ten minutes mean";Wind;vent;vento;wind;T;1;Float;m/s
fkltowz1;"Böenspitze (Sekundenböe) Turm; Maximum in m/s";"Rafale (intégration 1 s) tour; maximum en m/s";"Raffica del vento (su un secondo) torre; massima; in m/s";"Gust peak (one second) tower; maximum; in m/s";Wind;vent;vento;wind;T;1;Float;m/s
fu3towd0;"Windgeschwindigkeit skalar Turm; Tagesmittel in km/h";"Vitesse du vent scalaire tour; moyenne jourmnalière en km/h";"Velocità del vento scalare torre; media giornaliera in km/h";"Wind speed scalar tower; daily mean in km/h";Wind;vent;vento;wind;D;1;Float;km/h
fu3towd1;"Böenspitze (Sekundenböe) Turm; Tagesmaximum in km/h";"Rafale (intégration 1 s) tour; maximum journalier en km/h";"Raffica del vento (su un secondo) torre; massima giornaliera in km/h";"Gust peak (one second) tower; daily maximum in km/h";Wind;vent;vento;wind;D;1;Float;km/h
fu3towh0;"Windgeschwindigkeit skalar Turm; Stundenmittel in km/h";"Vitesse du vent scalaire tour; moyenne horaire en km/h";"Velocità del vento scalare torre; media oraria in km/h";"Wind speed scalar tower; hourly mean in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3towh1;"Böenspitze (Sekundenböe) Turm; Stundenmaximum in km/h";"Rafale (intégration 1 s) tour; maximum horaire en km/h";"Raffica del vento (su un secondo) torre; massima oraria in km/h";"Gust peak (one second) tower; hourly maximum in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3towz0;"Windgeschwindigkeit skalar Turm; Zehnminutenmittel in km/h";"Vitesse du vent scalaire tour; moyenne sur 10 minutes en km/h";"Velocità del vento scalare torre; media su 10' in km/h";"Wind speed scalar tower; ten minutes mean in km/h";Wind;vent;vento;wind;T;1;Float;km/h
fu3towz1;"Böenspitze (Sekundenböe) Turm; Maximum in km/h";"Rafale (intégration 1 s) tour; maximum en km/h";"Raffica del vento (su un secondo) torre; massima in km/h";"Gust peak (one second) tower; maximum in km/h";Wind;vent;vento;wind;T;1;Float;km/h
gre000d0;"Globalstrahlung; Tagesmittel";"rayonnement global; moyenne journalière";"Radiazione globale; media giornaliera";"Global radiation; daily mean";Strahlung;rayonnement;radiazione;radiation;D;0;Integer;W/m²
gre000h0;"Globalstrahlung; Stundenmittel";"rayonnement global; moyenne horaire";"Radiazione globale; media oraria";"Global radiation; hourly mean";Strahlung;rayonnement;radiazione;radiation;H;0;Integer;W/m²
gre000m0;"Globalstrahlung; Monatsmittel";"rayonnement global; moyenne mensuelle";"Radiazione globale; media mensile";"Global radiation; monthly mean";Strahlung;rayonnement;radiazione;radiation;M;0;Integer;W/m²
gre000y0;"Globalstrahlung; Jahresmittel";"rayonnement global; moyenne annuelle";"Radiazione globale; media annuale";"Global radiation; annual mean";Strahlung;rayonnement;radiazione;radiation;Y;0;Integer;W/m²
gre000z0;"Globalstrahlung; Zehnminutenmittel";"rayonnement global; moyenne sur 10 minutes";"Radiazione globale; media su dieci minuti";"Global radiation; ten minutes mean";Strahlung;rayonnement;radiazione;radiation;T;0;Integer;W/m²
sre000d0;"Sonnenscheindauer; Tagessumme";"Durée d'ensoleillement; somme journalière";"Soleggiamento; somma giornaliera";"Sunshine duration; daily total";Sonne;ensoleillement;soleggiamento;sunshine;D;0;Integer;min
sre000h0;"Sonnenscheindauer; Stundensumme";"Durée d'ensoleillement; somme horaire";"Soleggiamento; somma oraria";"Sunshine duration; hourly total";Sonne;ensoleillement;soleggiamento;sunshine;H;0;Integer;min
sre000m0;"Sonnenscheindauer; Monatssumme";"Durée d'ensoleillement; somme mensuelle";"Soleggiamento; somma mensile";"Sunshine duration; monthly total";Sonne;ensoleillement;soleggiamento;sunshine;M;0;Integer;min
sre000y0;"Sonnenscheindauer; Jahressumme";"Durée d'ensoleillement; somme annuelle";"Soleggiamento; somma annuale";"Sunshine duration; annual total";Sonne;ensoleillement;soleggiamento;sunshine;Y;0;Integer;min
sre000z0;"Sonnenscheindauer; Zehnminutensumme";"Durée d'ensoleillement; sommation sur 10 minutes";"Soleggiamento; somma su 10'";"Sunshine duration; ten minutes total";Sonne;ensoleillement;soleggiamento;sunshine;T;0;Integer;min
ta1towd0;"Lufttemperatur Turm; Tagesmittel";"Température de l'air tour; moyenne journalière";"Temperatura dell'aria torre; media giornaliera";"Air temperature tower; daily mean";Temperatur;température;temperatura;temperature;D;1;Float;°C
ta1towdn;"Lufttemperatur Turm; Tagesminimum";"Température de l'air tour; minimum journalier";"Temperatura dell'aria torre; minima giornaliera";"Air temperature tower; daily minimum";Temperatur;température;temperatura;temperature;D;1;Float;°C
ta1towdx;"Lufttemperatur Turm; Tagesmaximum";"Température de l'air tour; maximum journalier";"Temperatura dell'aria torre; massima giornaliera";"Air temperature tower; daily maximum";Temperatur;température;temperatura;temperature;D;1;Float;°C
ta1towh0;"Lufttemperatur Turm; Stundenmittel";"Température de l'air tour; moyenne horaire";"Temperatura dell'aria torre; media oraria";"Air temperature tower; hourly mean";Temperatur;température;temperatura;temperature;H;1;Float;°C
ta1towhn;"Lufttemperatur Turm; Stundenminimum";"Température de l'air tour; minimum horaire";"Temperatura dell'aria torre; minima oraria";"Air temperature tower; hourly minimum";Temperatur;température;temperatura;temperature;H;1;Float;°C
ta1towhx;"Lufttemperatur Turm; Stundenmaximum";"Température de l'air tour; maximum horaire";"Temperatura dell'aria torre; massima oraria";"Air temperature tower; hourly maximum";Temperatur;température;temperatura;temperature;H;1;Float;°C
ta1towm0;"Lufttemperatur Turm; Monatsmittel";"Température de l'air tour; moyenne mensuelle";"Temperatura dell'aria torre; media mensile";"Air temperature tower; monthly mean";Temperatur;température;temperatura;temperature;M;1;Float;°C
ta1towmn;"Lufttemperatur Turm; Monatsminimum";"Température de l'air tour; minimum mensuel absolu";"Temperatura dell'aria torre; minima mensile assoluta";"Air temperature tower; absolute monthly minimum";Temperatur;température;temperatura;temperature;M;1;Float;°C
ta1towmx;"Lufttemperatur Turm; Monatsmaximum";"Température de l'air tour; maximum mensuel absolu";"Temperatura dell'aria torre; massima mensile assoluta";"Air temperature tower; absolute monthly maximum";Temperatur;température;temperatura;temperature;M;1;Float;°C
ta1tows0;"Lufttemperatur Turm; Momentanwert";"Température de l'air tour; valeur instantanée";"Temperatura dell'aria torre; valore momentaneo";"Air temperature tower; current value";Temperatur;température;temperatura;temperature;T;1;Float;°C
