STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
VAD;prestas0;1;01.06.1977 00:00;30.06.1977 21:00;MeteoSchweiz
GSB;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
WFJ;prestas0;1;01.06.1977 06:00;30.06.1977 18:00;MeteoSchweiz
TIT;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
CHD;prestas0;1;10.07.1981 06:00;17.07.1981 18:00;MeteoSchweiz
MTE;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
ATT;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
GOS;prestas0;1;10.07.1981 06:00;17.07.1981 18:00;MeteoSchweiz
MOE;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
KLO;prestas0;1;01.06.1977 00:00;30.06.1977 21:00;MeteoSchweiz
ENG;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
ULR;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
CMA;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
GIH;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
RUE;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
MAH;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
OBR;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
MER;prestas0;1;13.10.1982 06:00;20.10.1982 18:00;MeteoSchweiz
ALT;prestas0;1;01.06.1977 06:00;30.06.1977 18:00;MeteoSchweiz
DAV;prestas0;1;01.06.1977 06:00;30.06.1977 18:00;MeteoSchweiz
DAV;prestas0;1;13.10.1982 06:00;20.10.1982 18:00;MeteoSchweiz
DAV;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
STG;prestas0;1;01.06.1977 06:00;30.06.1977 18:00;MeteoSchweiz
SBE;prestas0;1;10.07.1981 06:00;17.07.1981 18:00;MeteoSchweiz
WAE;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
LEI;prestas0;1;01.01.2022 00:00;;MeteoSchweiz
