STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
LGH;rre250c0;1;01.01.1975 00:00;01.01.2012 00:00;MeteoSchweiz
ALE;rre250c0;1;01.01.1937 00:00;01.01.2012 00:00;MeteoSchweiz
SUC;rre250c0;1;01.01.1930 00:00;01.01.2012 00:00;MeteoSchweiz
PSA;rre250c0;1;01.01.1916 00:00;01.01.2012 00:00;MeteoSchweiz
TUB;rre250c0;1;01.01.1929 00:00;01.01.2012 00:00;MeteoSchweiz
COR;rre250c0;1;01.01.1947 00:00;01.01.1986 00:00;MeteoSchweiz
CDR;rre250c0;1;01.01.1958 00:00;01.01.2012 00:00;MeteoSchweiz
GBU;rre250c0;1;01.01.1916 00:00;01.01.2012 00:00;MeteoSchweiz
CRP;rre250c0;1;01.01.1924 00:00;01.01.2012 00:00;MeteoSchweiz
MUK;rre250c0;1;01.01.1945 00:00;01.01.2012 00:00;MeteoSchweiz
SBG;rre250c0;1;01.01.1923 00:00;01.01.2012 00:00;MeteoSchweiz
GLT;rre250c0;1;01.01.1956 00:00;01.01.2012 00:00;MeteoSchweiz
KOK;rre250c0;1;01.01.1914 00:00;01.01.2012 00:00;MeteoSchweiz
GOG;rre250c0;1;01.01.1923 00:00;01.01.2012 00:00;MeteoSchweiz
VTR;rre250c0;1;01.01.1995 00:00;01.01.2012 00:00;MeteoSchweiz
AQU;rre250c0;1;01.01.1948 00:00;01.01.2012 00:00;MeteoSchweiz
PIC;rre250c0;1;01.01.1924 00:00;01.01.2012 00:00;MeteoSchweiz
MAN;rre250c0;1;01.01.1924 00:00;01.01.2012 00:00;MeteoSchweiz
STD;rre250c0;1;01.01.1956 00:00;01.01.2012 00:00;MeteoSchweiz
SDE;rre250c0;1;01.01.1926 00:00;01.01.2012 00:00;MeteoSchweiz
MOR;rre250c0;1;01.01.1927 00:00;01.01.1950 00:00;MeteoSchweiz
KRA;rre250c0;1;01.01.1930 00:00;01.01.2012 00:00;MeteoSchweiz
MHO;rre250c0;1;01.01.1930 00:00;01.01.2012 00:00;MeteoSchweiz
SLI;rre250c0;1;01.01.1959 00:00;01.01.2012 00:00;MeteoSchweiz
LRI;rre250c0;1;01.01.1915 00:00;01.01.2012 00:00;MeteoSchweiz
FUR;rre250c0;1;01.01.1923 00:00;01.01.2012 00:00;MeteoSchweiz
CLU;rre250c0;1;01.01.1919 00:00;01.01.2012 00:00;MeteoSchweiz
MOP;rre250c0;1;01.01.1923 00:00;01.01.2012 00:00;MeteoSchweiz
SNA;rre250c0;1;01.01.1961 00:00;01.01.2012 00:00;MeteoSchweiz
COR;rre250c0;1;01.01.1990 00:00;01.01.2009 00:00;MeteoSchweiz
TOS;rre250c0;1;01.01.1928 00:00;01.01.2012 00:00;MeteoSchweiz
GRW;rre250c0;1;01.01.1938 00:00;01.01.2012 00:00;MeteoSchweiz
SVH;rre250c0;1;01.01.1915 00:00;01.01.2012 00:00;MeteoSchweiz
